file,size,claims,canonical,ambiguous,excerpt
blog/are-eggless-cakes-healthy.html,"8""",30-40,12-14,no,8-inch round usually works; for 30–40 guests
blog/birthday-cake-north-west-sydney.html,"6""",8-12,6-8,no,6-inch round — 8 to 12 serves
blog/birthday-cake-north-west-sydney.html,"10""",30-40,20-22,no,10-inch round — 30 to 40 serves
blog/cake-for-work-anniversary-sydney.html,"8""",30-40,12-14,YES,"8-inch round, serving roughly 20 generous slices. For 30 to 40 people"
blog/cake-for-work-anniversary-sydney.html,"8""",30-40,12-14,YES,"8-inch round, serving roughly 20 generous slices. For 30 to 40 people"
blog/cake-serving-size-guide-sydney.html,"6""",8-12,6-8,no,6-inch round cake typically serves 8–12 people
blog/cake-serving-size-guide-sydney.html,"8""",15-20,12-14,no,8-inch round cake serves roughly 15–20 people
blog/cake-serving-size-guide-sydney.html,"10""",25-35,20-22,no,10-inch round cake serves approximately 25–35 people
blog/cake-serving-size-guide-sydney.html,"8""",20-24,12-14,YES,8-inch square cake serves roughly 20–24 people
blog/cake-serving-size-guide-sydney.html,"8""",35-45,12-14,YES,8-inch-plus-6-inch build serves 35–45 guests
blog/cake-serving-size-guide-sydney.html,"6""",8-12,6-8,no,6-inch round cake typically serves 8–12 people
blog/cake-serving-size-guide-sydney.html,"8""",15-20,12-14,no,8-inch round cake serves roughly 15–20 people
blog/cake-serving-size-guide-sydney.html,"10""",25-35,20-22,no,10-inch round cake serves approximately 25–35 people
blog/cake-serving-size-guide-sydney.html,"6""",8-12,6-8,no,6-inch — 8–12 guests
blog/cake-serving-size-guide-sydney.html,"8""",15-20,12-14,no,8-inch — 15–20 guests
blog/cake-serving-size-guide-sydney.html,"10""",25-35,20-22,no,10-inch — 25–35 guests
blog/cake-smash-vs-first-birthday-cake-sydney.html,"10""",10-40,20-22,YES,"10 inches, serving 10–40 guests"
blog/cake-vs-dessert-table-sydney.html,"10""",30-40,20-22,no,10-inch cake feeding 30–40 guests
blog/cake-vs-dessert-table-sydney.html,"10""",30-40,20-22,no,10-inch cake feeding 30–40 guests
blog/cake-vs-dessert-table-sydney.html,"10""",30-40,20-22,no,10-inch cake feeding 30–40 guests
blog/christening-naming-day-cakes-sydney.html,"8""",30-40,12-14,no,8-inch round usually suits. For 30 to 40 guests
blog/christening-naming-day-cakes-sydney.html,"8""",30-40,12-14,no,8-inch round usually suits. For 30–40 guests
blog/corporate-cake-sydney.html,"6""",8-10,6-8,no,6-inch round cake serves 8–10 people
blog/corporate-cake-sydney.html,"12""",32-36,25-30,YES,"12-inch cake is the largest single-cake format we do, serving approximately 32–36 people"
blog/custom-cake-sydney.html,"8""",50-70,12-14,YES,"8-inch serves 16–24, a 10-inch serves 30–40, and a two-tier cake handles 50–70 guests"
blog/custom-kids-birthday-cakes-marsden-park-schofields.html,"8""",15-20,12-14,YES,8-inch single tier that serves 15–20 people
blog/eggless-cake-catering-sydney.html,"8""",10-15,12-14,no,8-inch round cake yields approximately 10–15 serves
blog/eggless-cake-catering-sydney.html,"8""",10-15,12-14,no,8-inch: 10-15 guests
blog/eggless-cake-catering-sydney.html,"10""",18-25,20-22,no,10-inch: 18-25 guests
blog/eggless-cake-catering-sydney.html,"12""",30-40,25-30,no,12-inch: 30-40 guests
blog/eggless-cake-for-diabetics-sydney.html,"6""",8-10,6-8,no,6-inch round yields roughly 8-10 serves
blog/eggless-cake-for-diabetics-sydney.html,"8""",16-20,12-14,no,8-inch round yields 16-20 serves
blog/eggless-cake-for-pooja-sydney.html,"10""",20-30,20-22,no,10-inch round cake (approximately 35 servings) is the right choice for 20 to 30 guests
blog/eggless-cake-for-pooja-sydney.html,"10""",15-20,20-22,no,10-inch cake will comfortably cover 30 people. For 15 to 20 guests
blog/eggless-cake-for-pooja-sydney.html,"8""",6-8,12-14,no,"8"">6–8 guests"
blog/eggless-cake-for-pooja-sydney.html,"8""",12-15,12-14,no,"8"">12–15 guests"
blog/eggless-cake-for-pooja-sydney.html,"8""",25-35,12-14,no,"8"">25–35 guests"
blog/eggless-cake-for-pooja-sydney.html,"8""",40-55,12-14,no,"8"">40–55 guests"
blog/eggless-cake-for-pooja-sydney.html,"10""",20-30,20-22,no,10-inch round cake (approximately 35 servings) is the right choice for a gathering of 20 to 30 guests
blog/eggless-cake-for-pooja-sydney.html,"10""",15-20,20-22,no,10-inch cake will comfortably cover 30 people. For a slightly smaller gathering of 15 to 20 guests
blog/eggless-cake-for-seniors-sydney.html,"8""",12-16,12-14,no,8-inch for 12–16 guests
blog/eggless-cake-lower-sugar-options-sydney.html,"6""",8-10,6-8,no,6-inch round yields roughly 8-10 serves
blog/eggless-cake-lower-sugar-options-sydney.html,"8""",16-20,12-14,no,8-inch round yields 16-20 serves
blog/eggless-cake-lower-sugar-options-sydney.html,"10""",8-10,20-22,YES,"10"" fill=""rgba(44,26,14,0.45)"">~8-10 serves"
blog/eggless-cake-lower-sugar-options-sydney.html,"10""",16-20,20-22,YES,"10"" fill=""rgba(44,26,14,0.45)"">~16-20 serves"
